,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
191,"94,641",976,"4,826","17,145","2,112","11,217","2,698","1,435","4,084","6,023","30,673","8,883","2,978","1,591",9.00%,38.0
192,"87,789",768,"5,084","14,095","3,046","10,895","4,056","2,297","4,893","8,416","18,131","9,640","4,020","2,448",7.40%,46.0
193,"46,484",343,"3,411","7,594",970,"5,823","1,712",440,"2,393","2,915","12,193","5,390","1,728","1,572",17.60%,44.0
194,"69,138","1,121","2,900","13,047","1,832","9,122","2,618",977,"3,570","5,131","18,609","6,449","2,771",991,11.20%,49.0
195,"83,017",994,"3,839","6,252",709,"8,939","2,410","1,043","4,969","6,348","35,003","8,327","2,715","1,469",9.90%,36.0
196,"117,437",873,"7,202","18,762","2,718","15,847","6,955","4,038","8,192","11,321","26,084","7,227","5,265","2,953",9.50%,41.0
197,"248,032","3,146","17,282","22,384","5,767","27,193","10,429","4,924","35,833","25,663","55,244","21,592","9,969","8,606",10.30%,36.0
198,"47,487","1,211","3,736","5,842","2,156","5,858","3,221",914,"3,288","3,567","10,315","3,542","2,277","1,560",11.40%,32.0
199,"84,327",888,"6,102","15,410","2,345","9,078","3,950","1,446","5,417","6,541","18,302","9,457","2,778","2,613",9.40%,56.0
201,"52,168",968,"3,155","9,956","1,628","6,595","2,974",601,"3,467","3,259","9,510","6,480","1,887","1,688",11.90%,28.0
203,"312,737","1,587","13,614","25,071","11,991","33,291","11,444","11,848","32,163","52,417","71,250","23,428","13,345","11,288",7.20%,35.0
206,"243,672","2,337","16,695","45,520","5,830","31,538","9,168","5,080","11,216","21,186","54,868","22,850","11,183","6,201",10.80%,40.0
207,"83,877",309,"5,184","7,652","1,115","9,306","4,486","1,589","7,344","6,735","23,041","6,667","4,245","6,204",14.10%,36.0
208,"75,726",270,"8,134","9,041","2,885","8,681","5,945",889,"3,513","8,422","13,252","6,704","4,370","3,620",10.70%,45.0
209,"65,245",250,"3,338","10,033","2,399","8,343","5,867","1,195","4,806","6,508","10,156","6,405","3,000","2,945",9.80%,39.0
210,"37,153",449,"1,476","6,198","1,532","5,504","4,118","1,250","2,525","2,516","6,611","1,779","1,939","1,256",6.50%,39.0
211,"46,781",420,"1,876","5,684",975,"5,643","1,872",808,"4,693","4,340","12,822","4,161","2,208","1,279",7.50%,43.0
214,"162,221","2,821","7,937","14,908","3,224","20,467","3,748","3,213","7,130","19,449","46,100","18,338","8,870","6,016",8.50%,39.0
216,"375,008","2,106","18,551","43,154","11,616","40,907","27,424","6,656","29,539","35,670","91,354","37,918","18,775","11,338",11.30%,49.0
220,"56,640",673,"4,018","8,887","1,243","6,618","2,806","1,185","2,741","4,409","13,333","6,885","2,005","1,837",8.70%,38.0
221,"54,658",828,"3,569","5,873","1,533","7,060","2,408","1,128","4,096","5,021","15,228","3,858","2,063","1,993",5.90%,36.0
222,"29,939","1,912","1,681","3,076",377,"3,361","2,101",537,"1,293","1,323","8,925","2,230","1,483","1,640",8.40%,37.0
223,"156,642","1,909","9,251","11,972","4,390","18,749","5,443","4,117","13,568","18,582","42,830","13,829","8,285","3,717",9.20%,38.0
224,"57,796",970,"4,263","4,564","1,309","8,377","1,920",688,"2,536","4,057","16,729","4,106","2,612","5,665",5.10%,35.0
225,"68,454","1,226","4,177","4,068",851,"11,344","3,297","1,031","3,175","4,411","23,825","5,335","3,096","2,618",6.90%,37.0
226,"105,884","1,544","8,682","13,213","2,039","12,860","2,879","2,504","7,716","8,338","26,765","11,699","3,746","3,899",10.90%,40.0
227,"288,276",483,"20,741","13,626","9,471","30,296","12,160","5,912","14,586","43,868","56,155","26,931","14,316","39,731",14.30%,44.0
228,"418,209",924,"24,749","22,738","9,976","48,140","18,881","9,787","30,264","55,195","110,070","37,744","19,725","30,016",14.90%,42.0
229,"86,245","1,034","7,027","5,930","2,506","8,317","3,635","2,540","6,002","10,120","19,254","5,901","4,871","9,108",9.40%,43.0
230,"50,609",648,"4,294","4,938",918,"6,733","3,149",960,"3,719","4,760","11,748","4,237","1,743","2,762",18.60%,44.0
231,"79,406",536,"7,952","2,406","1,044","8,186","3,339","1,806","3,246","11,743","16,052","6,136","3,808","13,152",14.70%,44.0
232,"131,344","1,508","11,532","7,512","3,722","12,836","4,752","2,938","10,077","19,443","30,420","9,474","6,596","10,534",10.90%,44.0
233,"125,798",577,"9,708","7,522","4,282","16,635","5,424","1,986","9,668","14,239","30,247","8,453","5,891","11,166",14.40%,43.0
234,"555,886","1,102","32,205","16,643","6,549","43,844","16,046","14,325","34,517","125,133","118,328","50,278","36,551","60,365",12.90%,45.0
