,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
75,"Denver County, Colorado","301,802","2,992","20,879","18,646","8,827","27,807","10,990","11,353","23,986","51,414","60,833","36,967","15,328","11,780",7.10%,"372,635","5,105","31,056","20,671","10,599","35,040","16,013","13,035","29,016","64,863","71,900","42,319","18,638","14,380",11.40%,"428,227","4,170","30,913","27,586","12,406","31,934","21,804","11,614","35,107","82,918","94,926","41,691","18,209","14,949",14.60%,51.0,52.0,49.0
76,"Douglas County, Colorado","147,755","1,621","9,417","10,973","3,361","17,379","5,386","9,439","18,094","22,649","26,432","9,757","6,824","6,423",3.50%,"172,340","2,789","10,516","10,621","4,733","19,897","6,664","8,773","19,327","28,441","32,047","14,839","6,998","6,695",12.40%,"192,970","2,119","10,666","11,784","5,418","17,346","6,809","11,455","21,477","31,722","39,325","16,380","9,751","8,718",9.80%,46.0,44.0,45.0
77,"El Paso County, Colorado","275,722","1,220","18,952","20,234","4,168","32,550","11,020","7,168","16,748","37,261","60,661","30,805","16,665","18,270",5.70%,"308,529","2,383","20,746","17,663","5,062","39,266","13,872","7,691","21,370","41,440","67,977","34,515","17,498","19,046",13.30%,"340,893","2,764","26,419","17,120","5,131","34,593","14,709","10,347","21,814","52,380","80,812","34,006","21,773","19,025",17.60%,45.0,44.0,45.0
78,"Jefferson County, Colorado","271,398","3,429","21,404","21,822","8,518","30,167","11,173","8,999","20,886","41,132","52,008","23,555","13,278","15,027",7.00%,"307,206","5,685","23,255","24,498","8,335","34,519","11,864","10,791","22,518","48,333","60,204","27,682","16,115","13,407",9.80%,"321,118","4,768","22,163","23,725","8,439","33,241","14,402","9,197","23,070","52,935","69,861","28,946","16,273","14,098",13.10%,46.0,45.0,46.0
79,"Larimer County, Colorado","151,483","2,557","9,431","15,746","3,890","17,112","4,579","2,727","9,581","17,005","39,658","14,091","7,926","7,180",6.10%,"174,576","4,205","12,999","18,257","3,685","19,056","3,835","3,821","9,051","20,089","46,304","18,273","8,015","6,986",14.20%,"191,401","4,536","11,893","18,116","2,840","21,150","5,942","2,117","9,077","29,355","49,744","19,596","8,626","8,409",12.20%,48.0,49.0,51.0
80,"Mesa County, Colorado","64,449","4,290","3,852","3,530","1,498","8,436","2,924","1,543","3,671","4,334","17,548","6,590","2,605","3,628",7.70%,"69,184","4,525","5,062","2,947","1,798","9,727","3,407","1,228","3,821","6,834","16,677","6,471","3,751","2,936",11.90%,"76,060","4,553","6,962","3,647","1,587","10,566","2,473","1,023","3,474","8,415","19,239","7,952","2,976","3,193",8.80%,44.0,45.0,47.0
81,"Pueblo County, Colorado","64,170",722,"4,959","5,086","1,639","10,765","2,369",824,"2,614","5,337","16,363","7,178","2,037","4,277",3.60%,"65,558",868,"5,408","5,538","1,498","8,783","3,242","1,335","2,588","6,082","17,331","6,051","2,864","3,970",6.40%,"69,791","1,042","6,309","4,322","1,113","8,909","3,411","1,209","1,540","6,707","19,324","7,798","2,685","5,422",12.40%,20.0,19.0,24.0
82,"Weld County, Colorado","118,678","4,546","9,797","13,115","3,415","17,046","6,306","1,377","7,511","11,120","25,836","9,113","4,387","5,109",8.20%,"139,270","11,026","11,832","14,920","4,208","15,360","8,065","2,013","7,454","13,018","27,261","11,175","7,708","5,230",23.60%,"166,014","9,714","17,828","19,397","5,717","18,129","9,622","3,470","7,756","17,083","32,216","10,869","8,718","5,495",12.20%,45.0,47.0,46.0
83,"Fairfield County, Connecticut","432,039","1,141","27,148","36,725","12,198","45,981","13,443","13,382","51,514","69,894","93,202","31,391","24,283","11,737",6.00%,"472,541","1,230","32,647","36,494","13,647","48,596","16,876","13,077","56,905","74,382","108,393","36,241","22,153","11,900",10.50%,"479,796","1,260","33,808","35,670","12,995","46,486","19,351","10,532","57,731","75,452","107,738","42,972","24,479","11,322",13.20%,43.0,46.0,43.0
84,"Hartford County, Connecticut","432,297","1,517","19,487","46,720","10,352","47,056","17,932","11,177","50,255","43,906","107,623","37,478","17,886","20,908",5.50%,"447,101",779,"21,207","48,782","11,190","46,390","19,086","10,139","53,005","49,105","120,701","28,620","17,201","20,896",10.20%,"459,995","2,416","23,122","47,261","12,055","47,247","21,846","8,804","44,943","46,707","129,585","39,041","19,448","17,520",12.00%,39.0,45.0,35.0
85,"Litchfield County, Connecticut","97,532","1,118","6,671","12,781","2,537","9,852","3,320","2,155","7,190","11,080","25,409","7,300","5,350","2,769",5.90%,"96,620",981,"7,233","13,357","2,236","10,925","4,135","2,265","6,246","8,268","24,494","7,610","5,112","3,758",8.40%,"96,654",797,"7,233","11,364","1,133","10,575","3,612","1,656","6,209","11,220","24,938","8,676","5,540","3,701",10.40%,37.0,39.0,38.0
86,"Middlesex County, Connecticut","83,458",423,"6,688","9,390","2,392","8,853","3,034","2,413","6,756","8,215","22,533","5,663","3,409","3,689",4.10%,"87,621",381,"5,680","11,041","2,505","7,577","3,776","2,418","6,573","9,331","23,191","7,576","4,403","3,169",10.50%,"86,410",277,"6,422","9,024","1,962","7,142","4,214","1,752","4,709","10,162","23,803","10,249","3,726","2,968",9.00%,41.0,43.0,44.0
87,"New Haven County, Connecticut","420,431","1,447","18,646","51,814","10,140","45,565","16,306","10,124","26,025","37,032","134,278","35,392","18,863","14,799",6.00%,"427,933",759,"24,749","45,742","11,792","50,251","17,585","9,469","27,994","43,271","127,298","31,964","20,382","16,677",10.50%,"427,382",522,"26,215","44,242","9,749","48,225","20,079","7,340","28,445","40,480","135,030","32,812","19,106","15,137",12.10%,41.0,45.0,42.0
88,"New London County, Connecticut","133,119",339,"7,269","15,809","2,644","15,000","5,472","2,033","5,148","12,439","31,296","22,490","6,244","6,936",6.40%,"131,346",713,"6,839","14,987","2,050","16,784","6,027","2,650","7,027","12,351","32,086","18,641","3,568","7,623",9.60%,"135,915",772,"7,820","17,503","1,692","16,012","4,830",920,"6,169","11,675","34,717","21,207","6,990","5,608",10.10%,37.0,36.0,37.0
89,"Tolland County, Connecticut","79,841",464,"5,145","8,550","1,666","8,003","2,434","1,188","7,629","7,101","23,599","5,985","3,436","4,641",5.10%,"83,087","1,023","5,595","10,603","1,535","8,069","3,127","1,089","7,277","7,399","22,351","8,687","3,514","2,818",13.30%,"79,831","1,169","5,300","8,984","1,691","8,155","3,565","1,063","6,661","6,782","24,042","5,946","3,118","3,355",16.60%,42.0,39.0,43.0
90,"Windham County, Connecticut","57,729",994,"4,163","6,704","1,651","7,230","2,755",622,"2,178","4,127","17,036","5,194","2,546","2,529",2.80%,"60,849","1,283","4,277","6,991","1,509","8,451","2,684",955,"2,799","4,109","16,701","6,655","2,172","2,263",7.80%,"57,932",777,"3,812","6,785","1,505","7,384","2,836",836,"3,703","4,409","15,774","5,404","2,237","2,470",13.90%,36.0,35.0,36.0
91,"Kent County, Delaware","68,808","1,178","4,514","5,322",827,"10,327","3,305","1,476","4,064","3,544","16,898","6,584","2,804","7,965",7.70%,"77,287",663,"4,846","6,156","1,660","11,187","2,423",842,"4,187","6,411","17,546","9,852","3,549","7,965",9.80%,"80,350",860,"5,282","6,097","1,281","12,632","5,720",719,"3,868","6,828","19,430","6,626","3,485","7,522",12.50%,42.0,41.0,43.0
92,"New Castle County, Delaware","261,666",966,"15,127","24,041","6,152","26,941","11,990","4,344","38,004","26,851","63,103","21,622","9,908","12,617",4.90%,"278,333","1,609","14,238","20,612","3,625","31,585","12,388","4,720","35,631","31,891","73,151","26,879","11,504","10,500",13.30%,"284,789","2,360","18,520","19,662","6,607","28,016","17,125","3,677","34,330","35,600","69,755","25,161","10,871","13,105",29.00%,43.0,48.0,50.0
93,"Sussex County, Delaware","80,646","2,573","8,870","7,668","1,933","12,156","3,344",889,"4,361","5,494","17,104","7,440","4,713","4,101",7.00%,"91,896","2,834","9,774","9,496","2,077","12,057","3,104","1,197","3,921","7,022","21,075","8,641","5,283","5,415",11.60%,"100,922","2,697","8,564","6,168","1,348","13,164","3,527","1,868","6,328","11,270","25,874","11,006","4,320","4,788",9.90%,42.0,42.0,47.0
94,"Alachua County, Florida","112,538",983,"3,705","3,926","1,780","12,816","3,401","1,905","5,862","11,910","44,064","11,771","5,558","4,857",7.30%,"121,517","2,321","4,113","3,648","1,411","11,846","4,131","2,353","6,775","12,737","48,243","13,431","6,111","4,397",18.00%,"128,361","1,538","5,174","4,259","1,414","12,433","4,472","2,112","6,532","11,947","50,819","16,041","6,264","5,356",14.20%,35.0,34.0,41.0
95,"Bay County, Florida","75,029",317,"5,332","3,872",930,"11,004","3,363",880,"4,385","8,307","15,341","9,430","4,719","7,149",11.20%,"82,156","1,128","5,895","5,167",795,"12,366","3,489","1,887","4,390","9,012","16,988","11,099","2,974","6,966",15.60%,"83,287",975,"7,839","4,005","1,651","10,192","5,764",794,"5,543","9,025","15,584","9,841","5,082","6,992",16.80%,38.0,37.0,43.0
96,"Brevard County, Florida","227,358",771,"15,981","27,933","3,896","29,433","7,933","3,202","12,310","30,740","47,476","22,761","10,757","14,165",10.70%,"241,881","1,734","14,811","23,135","4,722","32,561","9,928","4,166","10,700","33,393","53,964","27,101","13,225","12,441",16.70%,"259,299","1,423","19,391","31,050","4,572","31,663","11,999","3,072","13,092","36,651","52,515","26,059","12,443","15,369",17.60%,36.0,37.0,43.0
97,"Broward County, Florida","826,452","4,298","49,957","40,905","31,052","112,360","46,568","17,711","67,144","108,344","171,463","86,607","52,591","37,452",6.50%,"942,614","3,776","61,573","44,318","31,793","129,294","55,380","23,085","68,595","133,002","192,476","109,793","51,951","37,578",10.20%,"1,004,830","2,991","71,274","45,906","33,176","125,694","68,299","21,093","80,093","141,429","209,394","109,763","52,327","43,391",13.90%,40.0,34.0,41.0
99,"Collier County, Florida","123,674","2,615","11,130","5,028","4,491","21,667","2,750","1,708","8,546","15,524","20,990","18,720","5,723","4,782",8.90%,"151,828","5,898","16,411","7,023","3,390","19,889","7,046","2,616","11,473","19,207","21,543","24,260","9,519","3,553",10.00%,"161,368","2,063","20,648","6,211","2,916","19,395","4,969","3,786","11,733","22,106","28,933","26,796","6,656","5,156",15.90%,34.0,33.0,39.0
101,"Duval County, Florida","389,770",672,"21,722","22,161","10,573","51,785","25,552","7,790","46,676","42,808","85,714","34,224","17,697","22,396",11.20%,"433,627","2,490","22,724","28,996","12,007","53,268","28,445","7,525","50,783","52,501","90,397","44,835","20,497","19,159",18.80%,"470,587","1,242","34,484","23,815","12,772","53,695","34,887","6,238","50,361","62,010","93,654","52,790","24,750","19,889",15.90%,43.0,38.0,45.0
102,"Escambia County, Florida","114,076",414,"7,084","5,616","2,562","14,435","5,886","1,758","7,757","12,828","30,485","12,098","6,465","6,688",8.70%,"136,849","1,495","6,983","5,314","2,993","22,518","6,538","1,799","12,391","16,343","28,084","16,731","7,874","7,786",10.10%,"141,224",677,"11,847","6,980","3,445","16,783","5,866","1,696","13,848","14,485","35,486","16,284","7,623","6,204",11.90%,40.0,40.0,46.0
104,"Hillsborough County, Florida","557,854","7,815","31,629","32,944","18,108","67,658","24,915","14,863","58,157","74,079","121,250","59,144","25,955","21,337",7.50%,"637,791","8,969","46,498","30,513","19,014","70,929","30,974","14,913","67,140","92,336","141,646","62,531","26,917","25,411",11.60%,"735,836","9,108","64,578","43,954","21,462","78,470","39,873","9,530","76,382","108,317","161,022","73,522","29,743","19,875",15.50%,42.0,44.0,49.0
106,"Lake County, Florida","117,196","1,803","6,459","7,678","2,931","14,260","6,094","2,095","8,497","12,018","27,004","18,010","4,423","5,924",10.40%,"129,511","1,474","9,361","7,753","2,724","15,653","5,308","1,298","9,889","13,841","29,065","21,783","4,746","6,616",12.10%,"154,127","3,129","15,811","6,211","2,264","18,611","6,248","1,614","9,471","16,774","32,755","26,709","7,297","7,233",10.10%,35.0,34.0,41.0
107,"Lee County, Florida","233,140","2,520","18,232","7,758","4,747","36,523","13,021","4,328","15,500","29,322","45,397","31,630","13,745","10,417",9.30%,"277,323","2,496","31,198","11,454","5,469","45,736","9,959","5,171","20,866","36,685","52,707","33,454","13,908","8,220",11.60%,"321,744","1,781","39,195","12,000","6,040","45,862","16,116","4,536","20,770","41,759","68,779","37,044","17,908","9,954",12.40%,36.0,36.0,41.0
108,"Leon County, Florida","127,337",591,"5,660","3,693","1,946","12,511","2,889","1,280","8,079","13,957","34,973","14,401","6,442","20,915",10.20%,"142,062",432,"4,247","1,828","2,516","17,474","5,059","2,053","8,910","15,955","39,683","19,359","6,520","18,026",24.00%,"149,547",809,"5,816","3,489","1,964","14,993","4,910","1,795","9,383","18,503","42,799","15,009","8,329","21,748",26.20%,38.0,40.0,47.0
109,"Manatee County, Florida","127,401","1,621","7,251","9,729","3,255","19,905","5,182","1,420","9,369","14,682","28,038","14,671","6,588","5,690",8.90%,"148,415","1,283","13,676","10,821","4,291","21,196","5,318","1,544","9,429","17,108","29,936","19,731","8,142","5,940",14.80%,"169,946",793,"12,951","10,385","3,818","24,320","8,549","2,786","11,182","22,382","38,838","18,823","9,557","5,562",15.50%,36.0,34.0,37.0
110,"Marion County, Florida","113,661","4,864","9,414","6,790","3,381","15,439","4,580","1,988","6,690","11,959","25,333","12,238","5,246","5,739",7.00%,"111,085","2,900","7,522","7,431","2,874","18,650","4,930","1,603","6,864","10,600","27,039","11,517","4,897","4,258",14.10%,"136,306","1,652","10,960","8,628","3,117","19,759","7,021","1,497","6,646","15,493","31,065","14,260","8,382","7,826",9.70%,38.0,35.0,42.0
111,"Miami-Dade County, Florida","1,075,625","7,748","74,255","54,937","45,164","130,845","73,548","26,799","78,688","134,619","217,787","112,057","78,170","41,008",7.30%,"1,261,863","9,989","98,439","54,408","46,992","149,400","94,244","26,607","97,510","157,942","249,083","151,944","82,364","42,941",10.90%,"1,366,451","9,308","114,573","55,442","48,165","165,416","121,130","25,503","100,875","185,571","272,463","150,356","77,751","39,898",12.30%,38.0,40.0,44.0
113,"Orange County, Florida","548,580","2,582","32,646","23,039","14,866","65,901","31,870","12,054","36,277","79,407","103,443","100,412","26,009","20,074",9.90%,"655,717","2,524","39,921","30,037","18,985","80,260","32,345","15,811","47,463","90,004","123,289","128,500","27,716","18,862",13.50%,"733,137","3,546","54,894","35,259","19,265","88,056","42,929","14,608","53,978","98,187","133,830","137,397","29,385","21,803",18.80%,36.0,38.0,44.0
114,"Osceola County, Florida","117,143",894,"8,139","4,481","1,611","18,176","7,821","1,992","6,081","12,366","20,003","27,061","3,583","4,935",8.70%,"143,825",311,"9,975","4,942","3,734","22,090","7,301",691,"6,813","17,399","22,798","36,303","4,896","6,572",14.70%,"180,755",886,"15,234","6,413","4,060","23,664","15,068","3,390","11,375","19,364","29,141","39,774","6,024","6,362",19.40%,34.0,32.0,36.0
115,"Palm Beach County, Florida","577,572","8,110","39,760","22,709","14,634","81,326","24,127","13,419","47,843","81,209","123,750","63,721","34,344","22,620",8.20%,"653,531","7,322","50,530","26,075","20,397","86,919","25,452","12,471","57,290","96,015","134,580","79,343","35,262","21,875",12.30%,"709,866","8,395","60,534","29,540","18,091","85,687","35,481","13,132","52,911","107,608","158,686","80,400","39,024","20,377",13.50%,35.0,37.0,42.0
116,"Pasco County, Florida","184,267","1,034","12,874","9,888","4,902","28,796","9,462","3,403","15,615","18,859","41,329","19,380","9,999","8,726",7.50%,"203,112","1,427","15,593","10,309","6,030","27,812","10,156","4,945","16,088","25,437","47,450","19,760","9,818","8,287",12.40%,"238,869","1,186","23,539","10,255","4,994","36,019","12,143","3,561","20,109","29,313","52,882","24,508","11,571","8,789",9.80%,36.0,37.0,39.0
117,"Pinellas County, Florida","409,011","1,619","24,276","33,853","11,589","56,772","15,679","8,175","36,833","52,263","89,674","41,297","21,784","15,197",8.70%,"445,914","1,959","26,502","31,107","10,582","61,450","16,165","8,627","43,517","65,152","92,828","49,461","24,413","14,151",12.10%,"457,776",850,"26,558","27,884","11,718","56,359","15,551","9,388","42,801","68,744","106,322","53,849","23,769","13,983",13.10%,40.0,38.0,45.0
118,"Polk County, Florida","237,723","4,728","17,511","15,902","9,638","34,134","13,751","2,989","13,822","21,810","51,154","32,942","8,759","10,583",7.20%,"258,761","5,599","18,140","13,944","9,293","38,123","14,741","3,512","16,036","29,700","51,051","36,589","12,628","9,405",16.00%,"312,921","3,444","25,512","15,285","7,924","44,008","22,952","3,449","21,624","32,284","58,981","51,626","15,014","10,818",23.50%,36.0,37.0,44.0
120,"St. Lucie County, Florida","108,310","1,716","7,015","6,754","3,198","19,292","6,198","1,740","5,829","9,543","24,687","10,655","5,843","5,840",11.70%,"120,654","1,595","10,518","4,014","2,747","17,130","3,521","1,944","5,526","18,157","27,814","14,893","7,976","4,819",15.00%,"149,585",842,"15,816","7,071","3,721","23,883","9,274","1,582","8,449","16,430","32,745","14,793","9,435","5,544",14.40%,34.0,32.0,39.0
121,"Santa Rosa County, Florida","63,600",669,"3,829","3,531","1,651","9,654","2,292","1,841","4,252","8,043","12,264","7,051","2,227","6,296",7.50%,"72,424",676,"6,888","4,045",897,"7,762","4,138","1,567","5,580","7,736","13,485","7,478","6,037","6,135",10.50%,"78,050",552,"6,647","3,760","1,297","9,888","4,424","2,515","5,854","9,958","16,539","8,130","3,066","5,420",11.90%,39.0,38.0,45.0
122,"Sarasota County, Florida","146,867",594,"13,558","6,377","2,914","21,562","3,452","2,212","11,747","17,586","31,911","19,717","9,669","5,568",6.90%,"158,795",474,"11,034","11,032","3,437","19,240","5,420","2,413","13,765","22,405","36,476","19,716","8,764","4,619",11.40%,"178,123","1,002","15,819","7,280","3,171","23,618","7,912","3,232","12,543","26,135","37,465","20,923","13,137","5,886",16.20%,37.0,40.0,49.0
123,"Seminole County, Florida","199,357","1,186","10,789","12,118","7,198","26,912","8,676","6,242","18,559","28,423","43,040","19,359","10,510","6,345",10.20%,"218,095",462,"11,998","11,372","4,983","25,440","9,627","6,168","23,973","35,009","50,940","22,838","8,850","6,435",21.20%,"243,631",437,"15,533","12,770","6,895","27,272","14,003","6,432","21,385","40,909","49,878","28,467","13,161","6,489",12.90%,37.0,34.0,38.0
124,"Volusia County, Florida","193,104","2,847","14,355","11,296","5,657","31,528","8,377","4,601","12,819","19,524","40,719","20,559","12,015","8,807",11.00%,"209,562","1,302","16,068","13,143","4,513","27,721","10,894","4,458","15,112","23,894","44,849","26,223","12,250","9,135",14.50%,"242,595","2,068","21,578","11,754","6,783","33,919","10,077","3,438","18,591","27,227","52,614","29,700","15,796","9,050",19.20%,37.0,36.0,41.0
125,"Bibb County, Georgia","56,710",355,"3,152","3,672","1,181","7,019","2,122",748,"5,861","3,732","15,734","4,688","4,464","3,982",6.10%,"61,564",366,"2,836","5,522","1,066","7,340","3,297",967,"5,069","5,811","18,177","5,515","2,478","3,120",11.30%,"65,512",29,"3,139","5,095","2,604","7,908","3,987",882,"3,731","7,672","15,622","6,643","3,446","4,754",14.10%,39.0,41.0,53.0
126,"Chatham County, Georgia","117,204",483,"7,260","9,526","3,212","15,173","6,553","1,837","5,887","11,289","28,590","13,273","6,434","7,687",7.00%,"133,525",426,"7,380","10,747","2,255","18,706","9,600","1,658","7,161","13,712","31,423","16,639","7,171","6,647",9.20%,"138,435",739,"9,137","11,856","1,375","16,061","12,091","2,326","6,296","14,269","31,067","22,678","4,776","5,764",14.40%,38.0,36.0,43.0
