County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,20.20%,0.00%,6.70%,8.70%,41.60%,57.10%,19.70%,20.90%,37.10%,15.40%,10.90%,13.30%,7.00%,13.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.90%,54.50%,72.20%,3.30%,2.60%,1.90%,3.20%,4.60%,0.90%,2.10%,0.40%,0.40%,9.50%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,0.00%,1.80%,50.50%,27.70%,20.50%,57.50%,3.90%,1.90%,4.40%,1.70%,2.90%,12.90%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Dougherty County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,17.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Douglas County, Georgia","72,393",62,"3,918","5,539","2,480","8,153","5,735","1,473","5,091","7,471","20,110","6,995","3,408","1,958",,14.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.70%,0.00%,16.30%,26.00%,7.10%,15.20%,25.10%,33.30%,53.70%,42.40%,68.70%,17.00%,23.00%,46.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,0.00%,0.00%,0.00%,0.00%,2.80%,0.80%,0.00%,0.00%,20.70%,14.30%,48.80%,54.30%,36.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.30%,0.00%,5.60%,3.90%,64.70%,58.20%,28.80%,12.80%,38.70%,16.40%,13.20%,28.00%,7.40%,9.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,0.00%,78.10%,4.50%,0.00%,7.30%,9.70%,53.90%,6.90%,0.00%,0.90%,0.00%,9.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,100.00%,0.00%,65.60%,28.10%,16.60%,35.60%,0.00%,0.70%,20.50%,3.00%,6.10%,5.70%,8.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fayette County, Georgia","52,449",389,"3,484","4,467","2,045","2,332","6,934","2,057","3,173","6,130","9,871","6,000","3,065","2,502",,8.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.10%,21.90%,32.30%,36.10%,26.90%,21.50%,16.80%,58.60%,49.80%,63.60%,79.30%,20.70%,33.10%,52.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,76.60%,0.00%,3.90%,0.00%,0.00%,0.00%,17.10%,1.20%,16.40%,12.80%,49.20%,52.20%,26.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.00%,0.00%,11.50%,15.30%,56.10%,51.00%,19.40%,14.50%,41.60%,16.40%,6.60%,24.40%,8.50%,8.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.40%,1.50%,56.20%,6.70%,6.00%,3.50%,7.90%,9.70%,7.40%,3.50%,0.00%,0.00%,6.10%,1.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,0.00%,0.00%,38.10%,11.00%,23.90%,55.90%,0.00%,0.00%,0.00%,1.30%,5.70%,0.00%,11.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Floyd County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Forsyth County, Georgia","127,115",510,"8,327","11,916","5,041","14,213","4,481","3,689","12,508","26,106","22,138","10,288","5,781","2,117",,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,54.10%,55.70%,43.20%,54.50%,32.70%,24.30%,41.80%,74.20%,66.70%,67.50%,80.30%,21.40%,29.40%,50.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,10.60%,0.00%,0.30%,0.00%,3.40%,1.10%,1.30%,0.70%,13.90%,8.50%,60.90%,47.10%,29.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.80%,22.00%,11.50%,21.90%,53.40%,56.30%,20.50%,20.50%,31.80%,16.40%,9.30%,16.60%,10.70%,15.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.60%,11.80%,42.40%,5.60%,0.90%,1.00%,1.00%,1.50%,0.90%,1.40%,0.50%,0.00%,10.10%,4.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.00%,0.00%,2.90%,17.80%,13.10%,14.90%,35.60%,2.50%,0.00%,0.80%,1.50%,1.10%,2.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fulton County, Georgia","565,395","1,051","17,362","33,392","14,985","47,486","43,966","22,365","56,132","129,721","106,199","52,289","19,719","20,728",,14.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,57.30%,65.60%,40.20%,63.00%,35.80%,22.90%,26.10%,73.30%,62.20%,75.00%,77.70%,31.70%,40.40%,58.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,12.20%,0.00%,0.00%,1.60%,0.40%,4.20%,3.20%,4.40%,1.30%,9.10%,11.80%,53.80%,30.40%,24.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,6.20%,7.60%,12.00%,45.20%,57.30%,19.70%,17.40%,33.90%,13.50%,8.40%,10.80%,12.20%,14.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,3.00%,21.20%,50.20%,1.40%,2.00%,2.80%,3.10%,4.60%,0.60%,0.90%,0.80%,0.10%,5.80%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.20%,7.00%,2.00%,21.90%,16.60%,12.80%,47.90%,0.30%,2.10%,1.50%,1.30%,3.60%,11.20%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Glynn County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Gwinnett County, Georgia","474,393","1,659","44,701","43,390","17,482","51,236","31,977","12,751","32,688","70,871","86,359","42,990","25,913","12,376",,13.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.70%,51.80%,16.50%,35.20%,27.60%,13.40%,14.10%,55.00%,51.00%,57.00%,70.50%,23.70%,27.30%,50.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,4.60%,0.00%,1.10%,0.00%,3.90%,4.30%,2.10%,2.60%,18.70%,15.40%,54.60%,43.00%,32.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.90%,4.90%,3.50%,13.40%,45.50%,58.80%,17.60%,26.80%,39.20%,18.90%,11.90%,19.00%,11.40%,12.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.70%,34.10%,77.30%,6.90%,1.20%,4.10%,2.00%,15.20%,4.80%,2.80%,0.20%,0.10%,13.80%,3.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.00%,4.60%,2.60%,43.40%,25.60%,19.70%,62.00%,1.00%,2.40%,2.60%,1.90%,2.60%,4.50%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hall County, Georgia","94,125","1,961","11,087","17,422","4,014","9,726","4,182","1,321","5,550","7,978","15,717","7,998","5,003","2,166",,16.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.30%,22.30%,21.90%,21.10%,23.50%,8.40%,18.50%,55.30%,59.00%,41.70%,63.90%,14.70%,21.10%,37.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,7.00%,2.90%,1.90%,2.50%,3.60%,4.00%,0.00%,0.00%,29.70%,21.40%,56.90%,25.40%,39.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.50%,8.70%,7.10%,6.60%,50.60%,66.00%,22.50%,29.30%,41.00%,25.70%,10.00%,13.40%,7.20%,4.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.10%,60.90%,66.20%,3.40%,7.20%,3.60%,4.20%,15.40%,0.00%,1.30%,1.10%,1.80%,31.50%,9.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.40%,1.00%,1.80%,67.00%,16.20%,18.40%,50.70%,0.00%,0.00%,1.60%,3.80%,13.20%,14.70%,8.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Henry County, Georgia","117,500",219,"7,185","8,323","2,608","14,363","15,470","1,701","5,781","11,879","24,928","9,947","7,901","7,195",,16.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.60%,0.00%,33.70%,35.10%,16.20%,2.80%,12.90%,68.60%,50.70%,39.00%,68.40%,29.30%,19.60%,48.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,75.80%,0.00%,1.90%,0.00%,3.30%,2.60%,0.00%,0.00%,28.60%,16.90%,61.20%,45.20%,31.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.20%,0.00%,7.00%,12.70%,46.50%,63.80%,23.70%,7.20%,46.40%,18.50%,11.50%,7.00%,6.40%,19.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,24.20%,55.70%,3.50%,6.30%,6.00%,11.80%,18.60%,0.70%,7.30%,0.20%,2.50%,19.00%,0.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.80%,0.00%,3.70%,46.90%,31.00%,24.10%,49.00%,5.60%,2.20%,6.70%,3.00%,0.00%,9.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Houston County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,12.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jackson County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lowndes County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,28.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Muscogee County, Georgia","78,408",590,"3,954","8,161","1,855","9,464","3,729","1,189","9,542","7,608","16,565","9,296","3,823","2,632",,15.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.70%,17.60%,8.60%,17.70%,5.30%,8.20%,5.80%,39.00%,45.30%,37.80%,65.00%,15.10%,20.30%,48.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,0.00%,1.60%,1.90%,0.00%,2.60%,2.70%,10.50%,0.90%,32.10%,17.00%,69.60%,24.50%,24.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.20%,0.00%,6.00%,9.60%,56.10%,68.80%,20.00%,44.30%,50.90%,14.70%,11.70%,9.60%,24.10%,6.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.00%,12.90%,76.40%,13.50%,0.00%,1.00%,10.00%,6.10%,2.40%,6.20%,2.60%,0.00%,23.80%,10.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,69.50%,7.40%,57.30%,38.60%,19.50%,61.50%,0.00%,0.60%,9.30%,3.70%,5.70%,7.20%,9.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Newton County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,17.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Paulding County, Georgia","79,424",197,"10,088","6,688","2,328","10,953","8,010","1,538","4,298","8,455","15,517","5,085","3,551","2,716",,12.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.70%,72.10%,25.40%,32.00%,5.30%,15.40%,7.50%,70.90%,39.10%,50.70%,73.80%,13.50%,30.80%,29.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.50%,0.00%,1.40%,1.10%,0.00%,0.50%,5.80%,1.80%,9.50%,12.10%,16.30%,63.30%,36.60%,54.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.70%,0.00%,3.50%,15.10%,55.20%,55.40%,23.00%,10.10%,51.40%,23.50%,8.10%,6.20%,8.90%,14.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.20%,0.00%,68.30%,6.20%,0.00%,8.50%,21.00%,17.30%,0.00%,10.90%,0.80%,1.10%,21.70%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.00%,27.90%,1.30%,45.60%,39.50%,20.30%,42.70%,0.00%,0.00%,2.70%,1.00%,15.90%,2.00%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Richmond County, Georgia","83,670",439,"3,757","10,931","1,584","9,312","3,973",816,"2,528","13,368","18,056","13,138","2,355","3,413",,16.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.20%,8.20%,12.90%,12.60%,0.00%,10.90%,15.40%,19.40%,38.60%,42.00%,54.10%,10.20%,17.40%,52.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,25.40%,0.00%,0.00%,4.70%,0.00%,2.10%,0.00%,28.90%,15.00%,27.70%,32.90%,66.00%,45.10%,15.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.00%,0.00%,5.00%,8.20%,57.10%,76.30%,20.30%,51.70%,37.70%,20.30%,12.00%,13.70%,11.40%,30.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.50%,61.30%,76.90%,7.20%,3.90%,3.70%,6.30%,0.00%,5.60%,2.40%,0.10%,4.70%,22.20%,2.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,30.50%,5.20%,67.30%,39.00%,6.90%,57.90%,0.00%,3.00%,7.60%,1.00%,5.50%,3.80%,0.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Rockdale County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,27.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Spalding County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walker County, Georgia",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
