County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
        Estimate,35.20%,50.00%,12.10%,19.10%,17.90%,10.40%,12.80%,58.70%,49.10%,55.70%,57.80%,12.00%,23.20%,50.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.20%,0.00%,0.00%,0.00%,0.00%,3.70%,2.40%,16.40%,3.00%,20.40%,28.20%,71.20%,42.20%,19.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.50%,0.00%,5.20%,12.40%,62.30%,73.90%,35.20%,19.50%,40.70%,14.00%,11.40%,11.90%,15.40%,25.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.50%,40.60%,75.20%,2.40%,2.00%,3.50%,1.10%,5.40%,7.20%,0.90%,0.70%,1.10%,6.30%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.50%,9.40%,7.40%,66.00%,17.80%,8.50%,48.50%,0.00%,0.00%,9.10%,1.90%,3.80%,12.90%,4.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Morgan County, Alabama","50,762",155,"5,110","9,165","1,047","6,707","2,523",515,"1,958","4,719","9,679","3,618","2,744","2,822",,7.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.10%,28.40%,10.30%,18.60%,6.60%,0.00%,30.40%,27.00%,35.20%,61.80%,62.60%,21.70%,22.50%,69.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,0.00%,0.00%,2.70%,3.60%,1.40%,0.00%,0.00%,0.00%,12.70%,18.50%,64.60%,40.00%,24.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.70%,0.00%,0.00%,12.90%,79.70%,86.50%,23.10%,45.80%,61.40%,12.40%,17.10%,6.40%,21.10%,5.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.30%,23.90%,74.70%,9.90%,0.00%,3.40%,16.10%,12.00%,0.00%,2.30%,0.00%,7.30%,14.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,47.70%,15.00%,56.00%,10.10%,8.80%,30.50%,15.10%,3.40%,10.90%,1.80%,0.00%,1.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Clair County, Alabama","37,154",714,"4,221","5,122","2,286","4,617","2,451",352,"2,471","2,771","6,701","2,790","1,437","1,221",,7.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.40%,13.90%,32.90%,23.00%,18.50%,4.50%,11.30%,39.20%,37.80%,34.50%,63.80%,4.90%,13.40%,28.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.00%,0.00%,0.00%,0.50%,0.00%,1.80%,12.30%,0.00%,1.40%,18.90%,27.10%,59.10%,32.40%,56.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,28.60%,0.00%,18.00%,16.80%,54.10%,81.30%,9.20%,11.10%,60.80%,32.10%,5.00%,29.70%,3.90%,9.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
