County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Blair County, Pennsylvania","56,198",713,"3,443","6,422","1,618","9,444","4,346","1,170","2,185","2,575","15,047","4,943","2,096","2,196",,8.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.00%,22.30%,30.00%,26.20%,33.30%,17.30%,7.80%,49.40%,31.70%,27.70%,60.90%,19.50%,27.80%,46.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,1.80%,0.00%,5.70%,0.00%,6.40%,0.00%,0.00%,2.60%,21.60%,23.10%,62.00%,46.40%,28.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.20%,6.60%,10.50%,13.00%,32.10%,65.60%,20.60%,33.80%,65.80%,37.60%,13.20%,15.80%,14.00%,24.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.50%,48.80%,54.60%,4.10%,14.00%,0.50%,18.40%,16.80%,0.00%,5.80%,1.10%,0.00%,7.10%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,20.50%,4.90%,51.00%,20.60%,10.30%,53.20%,0.00%,0.00%,7.30%,1.70%,2.70%,4.80%,0.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bucks County, Pennsylvania","326,430","1,889","22,214","38,472","11,688","40,730","13,709","6,469","24,827","43,533","78,178","23,523","12,756","8,442",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.00%,35.60%,19.30%,43.20%,25.90%,13.60%,12.60%,54.30%,54.00%,58.30%,68.20%,23.80%,23.20%,51.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.20%,12.50%,3.40%,1.00%,0.00%,4.40%,0.00%,4.10%,2.00%,16.20%,17.50%,65.90%,31.10%,26.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.40%,9.00%,8.40%,15.80%,54.10%,66.60%,25.30%,29.00%,42.90%,19.20%,11.00%,8.70%,14.00%,15.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.20%,24.80%,67.30%,4.90%,2.40%,6.40%,6.30%,7.90%,1.10%,2.40%,0.90%,0.30%,22.60%,3.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.20%,18.10%,1.60%,35.00%,17.60%,9.00%,55.80%,4.70%,0.00%,3.90%,2.50%,1.20%,9.20%,3.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Butler County, Pennsylvania","94,108","1,099","6,081","13,661","2,939","13,019","5,351","1,531","5,764","8,729","21,600","7,464","4,251","2,619",,9.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.30%,62.00%,22.20%,35.10%,16.10%,8.80%,15.00%,33.90%,46.30%,55.60%,62.30%,20.30%,20.70%,39.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,4.20%,0.00%,1.60%,3.30%,2.60%,2.70%,2.00%,3.40%,15.60%,23.00%,71.00%,37.00%,28.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,8.00%,7.30%,8.40%,58.10%,71.20%,22.20%,42.60%,46.10%,16.40%,13.30%,4.40%,12.70%,29.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.50%,22.30%,66.50%,11.20%,8.70%,4.10%,12.30%,16.10%,1.30%,5.10%,0.30%,1.20%,17.10%,2.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.70%,3.50%,4.00%,43.70%,13.70%,13.30%,47.80%,5.50%,2.90%,7.30%,1.10%,3.10%,12.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cambria County, Pennsylvania","58,413","1,183","2,974","5,047","1,797","6,506","3,577",797,"2,875","3,814","17,589","5,793","3,128","3,333",,8.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.60%,38.10%,8.20%,18.80%,11.20%,8.60%,5.00%,34.30%,39.70%,40.60%,56.90%,22.10%,13.40%,36.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.40%,1.30%,1.30%,0.80%,2.10%,5.60%,0.80%,0.00%,4.80%,13.60%,26.50%,62.10%,25.70%,33.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.80%,7.00%,12.80%,3.90%,38.10%,68.50%,11.40%,35.50%,51.30%,30.90%,13.30%,9.30%,23.40%,17.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.20%,45.00%,68.40%,5.60%,15.40%,5.10%,11.30%,19.40%,2.70%,0.70%,1.20%,1.40%,25.90%,4.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,8.60%,9.30%,70.90%,33.20%,12.20%,71.50%,10.80%,1.60%,14.20%,2.10%,5.10%,11.70%,8.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Carbon County, Pennsylvania",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Centre County, Pennsylvania","77,408","1,249","3,590","6,720","1,161","7,839","2,243",377,"2,102","7,624","30,048","8,345","3,625","2,485",,16.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,47.30%,33.90%,24.20%,30.30%,33.90%,7.00%,7.30%,54.90%,46.70%,63.70%,75.60%,20.50%,23.40%,33.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.50%,0.00%,10.90%,3.80%,0.00%,10.10%,0.50%,4.80%,14.60%,11.30%,12.70%,64.50%,20.50%,38.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.80%,3.60%,1.80%,15.70%,27.50%,69.10%,13.90%,30.00%,32.30%,15.60%,9.20%,8.10%,17.60%,19.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.50%,50.20%,60.50%,6.00%,21.50%,6.00%,1.60%,10.30%,4.40%,0.90%,1.20%,0.20%,33.10%,1.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.00%,12.30%,2.70%,44.20%,17.10%,7.90%,76.70%,0.00%,2.10%,8.60%,1.30%,6.70%,5.40%,6.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Chester County, Pennsylvania","270,111","7,478","14,503","30,529","9,212","23,312","9,719","6,014","25,989","43,153","61,062","21,602","10,804","6,734",,8.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,51.50%,15.90%,28.90%,52.70%,35.10%,20.30%,21.90%,67.90%,63.50%,71.60%,72.10%,25.60%,31.80%,45.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,9.00%,0.00%,1.20%,6.20%,5.60%,4.20%,0.10%,3.00%,10.90%,17.70%,64.20%,37.00%,34.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.60%,5.20%,9.50%,14.20%,50.20%,62.10%,21.90%,22.80%,33.00%,13.30%,8.50%,7.20%,17.90%,19.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.30%,63.20%,56.40%,6.00%,0.40%,4.00%,9.20%,3.40%,0.40%,2.60%,0.70%,0.50%,10.10%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.90%,6.70%,5.20%,26.00%,8.10%,8.10%,42.80%,5.80%,0.00%,1.60%,0.90%,2.50%,3.30%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clearfield County, Pennsylvania","32,548","1,766","2,323","3,673",387,"5,237","3,032",463,"1,276","1,599","7,203","2,717","1,557","1,315",,7.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,23.30%,3.80%,6.20%,9.70%,5.90%,6.60%,1.60%,25.90%,48.90%,46.40%,52.20%,21.80%,20.60%,32.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.30%,0.00%,2.20%,1.70%,0.00%,4.90%,0.70%,0.00%,0.50%,23.50%,27.80%,63.90%,15.90%,41.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.20%,1.40%,3.30%,7.10%,38.80%,54.20%,17.70%,3.00%,50.50%,18.40%,16.50%,5.20%,8.20%,22.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.60%,78.40%,75.70%,14.80%,4.10%,2.30%,7.70%,56.60%,0.00%,3.40%,2.50%,0.40%,33.30%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,24.60%,16.40%,12.70%,66.80%,51.20%,32.00%,72.30%,14.50%,0.00%,8.30%,1.00%,8.70%,22.00%,4.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Columbia County, Pennsylvania","29,129",431,"1,260","4,055",384,"3,779","2,178",559,680,"1,559","9,107","2,958","1,116","1,063",,7.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.50%,49.00%,29.40%,16.70%,6.30%,8.10%,23.10%,33.80%,61.20%,40.20%,67.90%,11.60%,18.00%,25.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.30%,2.30%,0.00%,1.20%,7.00%,1.60%,3.40%,9.50%,0.00%,32.40%,17.90%,75.80%,33.50%,56.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.40%,17.20%,2.90%,12.00%,18.20%,61.90%,12.50%,38.60%,36.50%,14.00%,12.10%,8.50%,19.90%,11.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.80%,31.60%,63.40%,5.30%,6.00%,2.50%,3.40%,2.00%,0.00%,1.50%,0.30%,0.40%,23.60%,1.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.00%,0.00%,4.20%,64.70%,62.50%,25.90%,57.50%,16.10%,2.40%,11.90%,1.90%,3.60%,5.00%,5.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Crawford County, Pennsylvania","38,598","1,509","2,687","8,201",629,"3,742","1,986",422,"1,081","1,761","10,155","3,041","1,847","1,537",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.70%,27.80%,7.70%,17.20%,10.00%,11.90%,12.80%,43.10%,30.90%,45.60%,58.10%,18.90%,13.90%,39.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.20%,1.10%,0.00%,2.60%,4.90%,5.20%,0.70%,6.90%,3.90%,30.90%,30.30%,69.50%,51.70%,36.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.90%,2.80%,3.90%,8.90%,43.20%,67.70%,8.90%,8.50%,62.40%,15.80%,9.60%,8.10%,8.10%,19.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.40%,57.50%,83.90%,4.90%,10.20%,6.10%,1.80%,16.60%,2.80%,2.20%,0.40%,0.50%,17.10%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.90%,10.90%,4.50%,66.30%,31.60%,9.10%,75.90%,24.90%,0.00%,5.60%,1.50%,3.00%,9.30%,2.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Cumberland County, Pennsylvania","125,845","1,406","6,046","11,886","3,149","15,943","9,036","2,219","11,498","13,395","25,856","8,373","5,101","11,937",,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.70%,34.40%,22.90%,25.90%,27.20%,10.00%,23.00%,63.90%,52.20%,54.70%,59.50%,12.70%,26.10%,56.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.30%,5.50%,0.00%,1.50%,0.00%,7.10%,0.00%,3.30%,3.90%,15.50%,24.80%,67.30%,28.60%,14.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.60%,6.60%,15.90%,16.90%,41.50%,68.40%,22.40%,21.90%,42.10%,16.90%,12.90%,16.50%,21.10%,23.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.30%,38.10%,58.60%,8.70%,4.00%,2.50%,1.30%,8.60%,0.80%,3.20%,1.00%,0.00%,11.40%,5.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.10%,15.30%,2.70%,47.00%,27.30%,12.10%,53.40%,2.40%,0.90%,9.70%,1.90%,3.50%,12.80%,0.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Dauphin County, Pennsylvania","133,305",644,"5,322","11,005","4,160","15,216","7,936","2,329","10,159","11,737","32,570","13,256","5,662","13,309",,17.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.70%,50.00%,15.00%,27.90%,20.00%,9.60%,8.90%,51.50%,50.80%,50.80%,64.00%,16.80%,36.50%,51.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.50%,0.00%,2.00%,2.40%,3.10%,5.10%,1.30%,0.00%,1.50%,18.70%,25.10%,60.00%,32.10%,12.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.50%,0.00%,7.20%,14.90%,39.60%,70.70%,34.50%,34.80%,43.50%,20.70%,8.90%,18.30%,17.20%,31.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.10%,46.30%,73.20%,4.00%,6.60%,2.00%,9.20%,3.80%,3.90%,2.00%,1.20%,0.90%,9.30%,3.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.20%,3.70%,2.70%,50.90%,30.80%,12.40%,46.00%,9.90%,0.20%,7.80%,0.70%,4.10%,4.90%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Delaware County, Pennsylvania","280,126","1,448","14,260","19,063","7,405","28,316","14,752","5,961","22,637","33,684","85,623","22,825","12,612","11,540",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.30%,29.20%,14.60%,41.80%,23.10%,9.50%,18.10%,44.40%,53.60%,60.10%,61.80%,23.20%,23.50%,41.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,0.00%,1.80%,1.50%,0.00%,4.40%,2.90%,2.70%,2.80%,11.80%,25.60%,59.80%,37.50%,22.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,19.30%,8.20%,17.60%,54.40%,70.00%,23.80%,37.10%,41.10%,20.60%,9.30%,11.50%,17.30%,32.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.40%,44.30%,68.30%,5.50%,1.50%,5.00%,10.10%,10.40%,0.60%,2.00%,0.70%,1.30%,7.30%,2.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.50%,7.30%,7.20%,33.70%,21.00%,11.10%,45.10%,5.40%,1.90%,5.60%,2.60%,4.20%,14.40%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Erie County, Pennsylvania","127,249","1,544","5,023","22,891","2,649","12,943","4,647","1,862","8,760","8,107","32,116","16,257","6,351","4,099",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.00%,54.50%,12.00%,22.60%,3.20%,11.00%,13.80%,53.70%,54.30%,49.30%,60.10%,16.90%,19.20%,36.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.70%,4.90%,0.00%,0.90%,2.20%,3.00%,3.20%,6.10%,1.90%,18.00%,25.80%,63.60%,37.70%,34.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.30%,7.50%,2.70%,11.40%,65.20%,73.80%,25.60%,21.70%,41.30%,23.70%,11.50%,14.50%,19.90%,26.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.20%,33.00%,76.40%,4.70%,0.00%,3.50%,7.90%,11.40%,0.10%,0.50%,0.60%,1.40%,14.50%,1.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,0.00%,8.90%,60.40%,29.40%,8.70%,49.50%,7.10%,2.30%,8.50%,1.90%,3.60%,8.80%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fayette County, Pennsylvania","53,187","2,590","3,904","6,583","1,570","6,761","4,635",538,"1,720","3,344","12,813","4,902","1,791","2,036",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.60%,8.20%,13.70%,25.80%,13.30%,8.50%,13.90%,25.70%,37.60%,43.30%,53.30%,18.60%,24.60%,46.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.40%,4.90%,0.50%,0.70%,0.60%,5.60%,1.60%,0.00%,0.00%,27.20%,33.90%,65.70%,31.30%,31.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,6.10%,3.60%,10.20%,41.80%,66.30%,10.10%,36.80%,52.30%,19.20%,12.20%,8.30%,17.60%,17.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.80%,60.80%,75.60%,5.00%,5.00%,5.30%,11.90%,30.10%,10.20%,5.70%,0.60%,0.70%,15.70%,2.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.50%,20.00%,6.60%,58.30%,39.20%,14.30%,62.40%,7.40%,0.00%,4.80%,0.00%,6.70%,10.70%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Franklin County, Pennsylvania","72,851","1,851","4,271","11,913","2,050","8,569","4,714","1,063","4,860","5,216","15,357","4,978","3,609","4,400",,6.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.20%,25.90%,17.50%,22.20%,7.50%,3.80%,8.90%,32.50%,41.60%,39.50%,60.20%,15.30%,16.40%,33.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.20%,0.00%,0.00%,2.20%,0.70%,2.40%,0.40%,0.00%,1.30%,26.50%,26.30%,64.80%,28.30%,35.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.20%,4.30%,6.10%,16.60%,33.60%,72.90%,24.10%,57.20%,57.10%,18.90%,12.00%,15.70%,20.60%,21.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,69.80%,68.40%,5.50%,25.60%,2.20%,4.40%,2.70%,0.00%,3.80%,0.80%,0.40%,28.70%,6.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.20%,0.00%,8.00%,53.50%,32.60%,18.70%,62.20%,7.60%,0.00%,11.40%,0.70%,3.80%,6.10%,4.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Indiana County, Pennsylvania","37,667","1,865","2,552","3,775",826,"4,046","3,100",579,"1,425","1,533","10,664","4,006","2,115","1,181",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.40%,13.60%,8.30%,23.90%,11.10%,10.50%,17.50%,35.40%,50.20%,40.70%,63.20%,9.90%,14.10%,37.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,0.00%,1.10%,3.40%,5.40%,3.10%,0.50%,0.00%,0.50%,24.10%,21.30%,69.50%,29.60%,20.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.40%,7.00%,4.00%,12.60%,65.30%,69.90%,9.50%,62.50%,47.00%,21.00%,12.80%,13.70%,18.60%,34.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.00%,66.40%,79.50%,2.80%,2.50%,5.80%,6.40%,0.00%,0.00%,2.00%,1.50%,0.20%,22.80%,2.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,13.00%,7.10%,57.40%,15.60%,10.80%,66.20%,2.10%,2.30%,12.20%,1.20%,6.60%,14.90%,4.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lackawanna County, Pennsylvania","100,019",725,"5,777","11,237","4,106","11,239","4,825","1,823","5,315","8,840","28,366","8,680","4,623","4,463",,9.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.30%,1.40%,21.50%,26.30%,14.10%,8.40%,8.60%,54.70%,48.30%,48.90%,65.30%,27.40%,23.10%,28.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,9.20%,0.40%,2.90%,0.60%,4.60%,2.40%,2.60%,0.60%,16.70%,21.00%,57.60%,40.10%,37.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.20%,39.70%,4.70%,11.80%,47.30%,67.90%,33.80%,34.80%,50.10%,21.60%,11.10%,11.70%,23.90%,14.90%,,(X)
